ATU_Number,Title,Category,Subsection,Status,Exemplar_Tales,Sources,Notes
304,The Dangerous Night-Watch (The Huntsman),Tales of Magic,Supernatural Adversaries,active,"""The Skilful Huntsman"" (Grimm KHM 111); ""The Trained Huntsman""",Missouri Libraries Folk Tales Online; Manchester Hive tale-type index,
305,Dragon's Heart-Blood as Remedy,Tales of Magic,Supernatural Adversaries,active,—,Gold Scales folktale-types index,Rarely cited in open sources.
306,The Danced-Out Shoes (Twelve Dancing Princesses),Tales of Magic,Supernatural Adversaries,active,"""Die zertanzten Schuhe"" / ""The Shoes That Were Danced to Pieces"" (Grimm KHM 133); ""Kate Crackernuts"" (Scottish, Jacobs)",Wikipedia: The Twelve Dancing Princesses; Ashliman type 306; Missouri Libraries,
307,The Princess in the Coffin,Tales of Magic,Supernatural Adversaries,active,"""The Princess in the Coffin"" (Asbjørnsen & Moe); ""Viy"" (Gogol, Russian literary); ""The Soldier's Midnight Watch"" (Afanasyev)",Gold Scales folktale-types index; Wikipedia: The Princess in the Coffin,
308-309,,Tales of Magic,Supernatural Adversaries,unassigned,,,No internationally recognized types assigned in this range; deliberate gap between dragon-slayer cluster (300-307) and bride-rescue cluster (310+).
310,The Maiden in the Tower,Tales of Magic,Supernatural Adversaries,active,"""Rapunzel"" (Grimm KHM 12); ""Petrosinella"" / ""Parsley"" (Basile, Pentamerone II.1); ""Persinette"" (La Force); ""Prunella"" (Italian); ""The Fair Angiola"" (Sicilian, Gonzenbach)",Wikipedia: Rapunzel; Ashliman type 310; Fairy-Folk-Tale Wiki,
311,Rescue by the Sister,Tales of Magic,Supernatural Adversaries,active,"""Fitcher's Bird"" / ""Fitchers Vogel"" (Grimm KHM 46); ""Old Rinkrank"" (Grimm KHM 196); ""The Hare's Bride"" (Grimm KHM 66); ""How the Devil Married Three Sisters"" (Italian); ""The Old Dame and Her Hen"" (Asbjørnsen & Moe)",Wikipedia: Fitcher's Bird; Missouri Libraries; Ashliman type 311,
312,Maiden-Killer (Bluebeard),Tales of Magic,Supernatural Adversaries,active,"""La Barbe bleue"" / ""Bluebeard"" (Perrault); ""The White Dove"" (French oral variant); ""Silver Nose"" (Calvino, Italian Folktales)",Wikipedia: Bluebeard; Ashliman type 312,
313,The Magic Flight,Tales of Magic,Supernatural Adversaries,active,"""Foundling-Bird"" / ""Fundevogel"" (Grimm KHM 51); ""The Two Kings' Children"" (Grimm KHM 113); ""The Water Nixie"" (Grimm KHM 79); ""The Master Maid"" (Asbjørnsen & Moe); ""The Battle of the Birds"" (Campbell, Scottish); ""Nicht, Nought, Nothing"" (Lang); ""L'Oranger et l'Abeille"" / ""The Bee and the Orange Tree"" (d'Aulnoy); ""Búkolla"" (Icelandic)",Wikipedia: The Master Maid; Fairy-Folk-Tale Wiki: ATU 313; Missouri Libraries; Ashliman type 313,
314,Goldener,Tales of Magic,Supernatural Adversaries,active,"""Iron Hans"" / ""Eisenhans"" (Grimm KHM 136); ""Guerrino and the Savage Man"" (Straparola); ""Lo Cuento dell'Uerco"" (Basile, related); ""The Hairy Man"" (Calvino)",Wikipedia: Iron Hans; Ashliman type 314; Manchester Hive,
315,The Faithless Sister,Tales of Magic,Supernatural Adversaries,active,"""The Strong Prince"" and related Eastern European variants; Grimm ""Die treulose Schwester"" (fragment)",Manchester Hive; Gold Scales,
316,The Nix of the Mill-Pond,Tales of Magic,Supernatural Adversaries,active,"""Die Nixe im Teich"" / ""The Nixie of the Mill-Pond"" (Grimm KHM 181)",Wikipedia: The Nixie of the Mill-Pond; Ashliman type 316; Missouri Libraries,
317,The Tree That Grows Up to the Sky,Tales of Magic,Supernatural Adversaries,active,"Hungarian ""Az égigérő fa"" (The Tree That Reached to the Sky); Slavic variants",Manchester Hive; Uther 2004 reference,Former AaTh 468 merged into ATU 317 in Uther 2004.
318,The Faithless Wife,Tales of Magic,Supernatural Adversaries,active,"""The Two Brothers"" (Egyptian, Papyrus d'Orbiney — Anpu/Bata section, Potiphar's-wife motif)",Gold Scales folktale-types index; Wikipedia: The Tale of Two Brothers (Egyptian),
319-320,,Tales of Magic,Supernatural Adversaries,unassigned,,,No types assigned in this range in Uther 2004.
321,Eyes Recovered from Witch,Tales of Magic,Supernatural Adversaries,active,—,Gold Scales,Rarely cited in open sources.
322-324,,Tales of Magic,Supernatural Adversaries,unassigned,,,No types assigned in this range in open-source references.
325*,The Sorcerer's Apprentice,Tales of Magic,Supernatural Adversaries,active,"Lucian's ""Philopseudes"" (literary antecedent); Goethe's ""Der Zauberlehrling"" (literary adaptation)",Manchester Hive; Atlas Obscura ATU overview,
325,The Magician and His Pupil,Tales of Magic,Supernatural Adversaries,active,"""The Thief and His Master"" (Grimm KHM 68); ""Farmer Weathersky"" (Asbjørnsen & Moe); ""Maestro Lattantio and His Apprentice"" (Straparola, Piacevoli Notti VIII.5); ""The King of Morocco"" (Scottish)",Wikipedia: The Magician and His Pupil; Ashliman type 325; Missouri Libraries,
326,The Youth Who Wanted to Learn What Fear Is,Tales of Magic,Supernatural Adversaries,active,"""Märchen von einem, der auszog das Fürchten zu lernen"" (Grimm KHM 4); Icelandic and Danish analogues",Wikipedia: The Story of the Youth Who Went Forth to Learn What Fear Was; Ashliman type 326,
327,The Children and the Ogre (parent type),Tales of Magic,Supernatural Adversaries,active,"General type covering abandoned-children-vs-ogre tales; ""The Lost Children"" (French)",Wikipedia: Hansel and Gretel; SurLaLune,Parent type; most attestations fall under the lettered subtypes.
328,The Boy Steals the Ogre's Treasure,Tales of Magic,Supernatural Adversaries,active,"""Big Peter and Little Peter"" (Asbjørnsen & Moe); Appalachian Jack tales; Greek-mythic analogue of Hermes stealing Apollo's cattle",Wikipedia: ATU 328; Ashliman type 328,
329,Hiding from the Princess (Seeing the Princess Who Can See Everything),Tales of Magic,Supernatural Adversaries,active,"""The Sea-Hare"" / ""Das Meerhäschen"" (Grimm KHM 191); Russian variants",Wikipedia: The Sea-Hare; Manchester Hive,
330,The Smith and the Devil,Tales of Magic,Supernatural Adversaries,active,"""Gambling Hansel"" / ""Spielhansl"" (Grimm KHM 82); ""Brother Lustig"" (Grimm KHM 81); ""The Blacksmith and the Devil"" (various European); Stingy Jack legend (Irish)",Wikipedia: The Smith and the Devil; Ashliman type 330,"Former AaTh 330*, 330A, 330B, 330C, 330D all consolidated into ATU 330 in Uther 2004. Phylogenetic studies date this tale type to the Bronze Age."
331,The Spirit in the Bottle,Tales of Magic,Supernatural Adversaries,active,"""Der Geist im Glas"" / ""The Spirit in the Glass Bottle"" (Grimm KHM 99); ""The Fisherman and the Jinni"" (1001 Nights analogue)",Wikipedia: The Spirit in the Bottle; Ashliman type 331; Missouri Libraries,
332,Godfather Death,Tales of Magic,Supernatural Adversaries,active,"""Der Gevatter Tod"" / ""Godfather Death"" (Grimm KHM 44); ""Der Herr Gevatter"" / ""The Godfather"" (Grimm KHM 42); ""Doctor Urssenbeck, Physician of Death"" (Austrian); ""The Boy with the Ale Keg"" (Norwegian, Asbjørnsen & Moe); ""The Just Man"" (Italian); Icelandic manuscript antecedent (1339)",Wikipedia: Godfather Death; Ashliman type 332; Missouri Libraries,
333,Little Red Riding Hood,Tales of Magic,Supernatural Adversaries,active,"""Le Petit Chaperon rouge"" (Perrault, 1697); ""Rotkäppchen"" / ""Little Red Cap"" (Grimm KHM 26); ""The Grandmother"" / ""La finta nonna"" (Italian oral); ""Cattarinetta"" (Italian)",Wikipedia: Little Red Riding Hood; Ashliman type 333; Missouri Libraries,"Former AaTh 333A ""The Wolf and the Greedy Girl"" absorbed into ATU 333 in Uther 2004."
334,Household of the Witch,Tales of Magic,Supernatural Adversaries,active,"""Frau Trude"" (Grimm KHM 43)",Wikipedia: Frau Trude; Missouri Libraries; Ashliman type 334,
335,Death's Messengers,Tales of Magic,Supernatural Adversaries,active,"""Die Boten des Todes"" / ""Death's Messengers"" (Grimm KHM 177, added in 4th ed. 1840, sourced from Kirchhoff's Wendunmuth, 1563); 13th-century European antecedents",Wikipedia: Death's Messengers; Ashliman type 335; Missouri Libraries,
336-359,,Tales of Magic,Supernatural Adversaries,unassigned,,,Deliberate gap between magician/ogre/fear cluster (325-335) and devil-bargain/revenant cluster (360+). No types in open-source references.
360,Bargain of the Three Brothers with the Devil (The Three Journeymen),Tales of Magic,Supernatural Adversaries,active,"""Die drei Handwerksburschen"" / ""The Three Apprentices"" (Grimm KHM 120)",Wikipedia: The Three Journeymen; Ashliman type 360; Missouri Libraries,
361,Bearskin,Tales of Magic,Supernatural Adversaries,active,"""Der Bärenhäuter"" / ""Bearskin"" (Grimm KHM 101, based on Grimmelshausen 1670); ""Don Giovanni de la Fortuna"" (Sicilian, Gonzenbach); ""The Devil's Sooty Brother"" (Grimm KHM 100, related); ""The Devil's Breeches"" (Calvino)",Wikipedia: Bearskin (German fairy tale); Ashliman type 361; Missouri Libraries,
362,,Tales of Magic,Supernatural Adversaries,unassigned,,,No type assigned in open-source references.
363,The Corpse-Eater / The Vampire,Tales of Magic,Supernatural Adversaries,active,"""The Fiend"" / ""Upyr"" (Afanasyev, Russian Fairy Tales)",Gold Scales folktale-types index; Wikipedia: The Fiend (fairy tale),
364,,Tales of Magic,Supernatural Adversaries,unassigned,,,No type assigned in open-source references.
365,The Dead Bridegroom Carries off His Bride (The Specter Bridegroom),Tales of Magic,Supernatural Adversaries,active,"""Lenore"" (Gottfried August Bürger ballad, 1773-74); ""Djákninn á Myrká"" / ""The Deacon of Dark River"" (Icelandic); Greek analogue ""The Dead Brother's Song""",Wikipedia: Lenore (ballad); Wikipedia: The Deacon of Dark River; Ashliman type 365,
366,The Man from the Gallows (The Corpse Claims Its Property),Tales of Magic,Supernatural Adversaries,active,"""The Shroud"" / ""Das Totenhemdchen"" (Grimm KHM 109, related); ""The Golden Arm"" (English, Baring-Gould; retold by Mark Twain); ""The Strange Visitor"" (Jacobs, English Fairy Tales); ""Teeny-Tiny"" (Jacobs); ""Saddaedda"" (Italian, Crane)",Wikipedia: The Golden Arm; Ashliman type 366; SurLaLune,
367-399,,Tales of Magic,Supernatural Adversaries,unassigned,,,"No internationally recognized tale types assigned in this range in Uther 2004. Folklore Fellows explicitly notes 370-399 as a range where ""there is hardly any space"" between thematic clusters. Catalogue resumes at ATU 400 opening the next subsection (""Supernatural or Enchanted Wife/Husband or Other Relative"")."
400,The Man on a Quest for His Lost Wife,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""The Swan Maiden"" tales (widespread); ""East of the Sun and West of the Moon"" (Asbjørnsen & Moe, partial); ""The Drummer"" / ""Der Trommler"" (Grimm KHM 193); ""Hasan of Basra"" (1001 Nights); ""The Three Swan Maidens"" (various European); ""The Crystal Ball"" (Grimm KHM 197, related)",Claude (model knowledge),"Covers swan-maiden cycle and quest-for-vanished-wife broadly; often combined with 313, 400, 401."
401,The Princess Transformed into Deer,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""The Enchanted Doe"" tales; ""The White Doe"" / ""La Biche au bois"" (d'Aulnoy); Magyar enchanted-deer variants",Claude (model knowledge),Former AaTh 401A (The Enchanted Princess in Her Castle) merged or partially subsumed.
402,The Animal Bride,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""The Three Feathers"" / ""Die drei Federn"" (Grimm KHM 63); ""The Frog Princess"" / ""Tsarevna Lyagushka"" (Afanasyev); ""The White Cat"" / ""La Chatte blanche"" (d'Aulnoy); ""The She-Bear"" (Basile, Pentamerone II.6, variant); ""Puddocky"" (German); ""The Mouse Bride"" (Finnish)",Claude (model knowledge),Brother-competition quest to find most beautiful bride; youngest brings home transformed animal who becomes princess.
403,The Black and the White Bride,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""The Three Little Men in the Woods"" / ""Die drei Männlein im Walde"" (Grimm KHM 13); ""The White and Black Bride"" / ""Die weiße und die schwarze Braut"" (Grimm KHM 135); ""The Bushy Bride"" (Asbjørnsen & Moe); ""Brother and Sister"" variants",Claude (model knowledge),Substituted-bride tale; true bride replaced by false (often stepmother's daughter) and later restored.
404,The Blinded Bride,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,—,Claude (model knowledge),Rarely cited in open sources; substituted/mutilated-bride variant.
405,Jorinde and Joringel,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""Jorinde und Joringel"" (Grimm KHM 69)",Claude (model knowledge),Maiden transformed into nightingale by witch; rescued by lover with magic flower.
406,,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,unassigned,,,No widely documented type at this number.
407,The Girl as Flower,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""The Carnation"" / ""Die Nelke"" (Grimm KHM 76, partial); ""The Three Citrons"" (related); Italian flower-maiden tales",Claude (model knowledge),Girl enchanted into plant/flower; released by kiss or breaking spell.
408,The Three Oranges,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""The Love for Three Oranges"" / ""Le tre cetra"" (Basile, Pentamerone V.9); ""The Three Lemons"" (Czech); Gozzi's ""L'amore delle tre melarance"" (commedia adaptation); Prokofiev opera adaptation",Claude (model knowledge),
409,The Girl as Wolf,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,uncertain,—,Claude (model knowledge),Transformed-heroine variant; I have low confidence this number is assigned in Uther 2004. Flag for verification.
410,Sleeping Beauty,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""La Belle au bois dormant"" (Perrault, 1697); ""Dornröschen"" / ""Briar Rose"" (Grimm KHM 50); ""Sole, Luna e Talia"" / ""Sun, Moon, and Talia"" (Basile, Pentamerone V.5); Catalan ""La bella dorment""",Claude (model knowledge),
411,The King and the Lamia,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,uncertain,—,Claude (model knowledge),Snake-wife/serpent-bride type; title and scope in Uther 2004 not fully verified. Flag for verification.
412,The Maiden with the Separable Soul in a Necklace,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,—,Claude (model knowledge),Rarely cited; Asian and Eastern European variants.
413-424,,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,unassigned,,,Gap between the flower/enchanted-maiden cluster and the large 425 Animal-Husband cluster.
425,The Search for the Lost Husband (parent type),Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,Parent type covering the Cupid and Psyche cycle and animal-husband tales broadly,Claude (model knowledge),Most attestations fall under the lettered subtypes A through N.
426,The Two Girls and the Bear,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""Snow-White and Rose-Red"" / ""Schneeweißchen und Rosenrot"" (Grimm KHM 161)",Claude (model knowledge),
427,,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,unassigned,,,No widely documented type at this number.
428,The Wolf as Servant (The Girl at the Wolf's House),Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,—,Claude (model knowledge),
429-431,,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,unassigned,,,Gap before the 432 bird-prince tale.
432,The Prince as Bird,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""The Blue Bird"" / ""L'Oiseau bleu"" (d'Aulnoy); ""The Feather of Finist the Falcon"" (Russian, overlap with 425N); ""The Green Knight"" (Danish)",Claude (model knowledge),
433,The Prince as Serpent,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,—,Claude (model knowledge),
434-439,,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,unassigned,,,Gap before the 440 Frog King cluster.
440,The Frog King or Iron Henry,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""Der Froschkönig oder der eiserne Heinrich"" / ""The Frog King, or Iron Henry"" (Grimm KHM 1); ""The Well of the World's End"" (Scottish); ""The Princess and the Frog"" (various English)",Claude (model knowledge),First tale in the Grimms' Kinder- und Hausmärchen collection.
441,Hans My Hedgehog,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""Hans mein Igel"" / ""Hans My Hedgehog"" (Grimm KHM 108); ""The Pig King"" / ""Il re porco"" (Straparola, Piacevoli Notti II.1)",Claude (model knowledge),
442,The Old Woman in the Forest,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""Die Alte im Wald"" / ""The Old Woman in the Wood"" (Grimm KHM 123)",Claude (model knowledge),
443-449,,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,unassigned,,,Gap before the 450 Brother-and-Sister cluster.
450,Little Brother and Little Sister,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""Brüderchen und Schwesterchen"" / ""Little Brother and Little Sister"" (Grimm KHM 11); ""Alyonushka and Bratets Ivanushka"" (Russian)",Claude (model knowledge),
451,The Maiden Who Seeks Her Brothers,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,active,"""The Twelve Brothers"" / ""Die zwölf Brüder"" (Grimm KHM 9); ""The Seven Ravens"" / ""Die sieben Raben"" (Grimm KHM 25); ""The Six Swans"" / ""Die sechs Schwäne"" (Grimm KHM 49); ""The Wild Swans"" (Andersen, literary)",Claude (model knowledge),Andersen's version is literary but widely referenced as belonging to this type.
452-459,,Tales of Magic,Supernatural or Enchanted Wife/Husband or Other Relative,unassigned,,,Gap at the end of the subsection before the 460 Supernatural Tasks subsection begins.
461,Three Hairs from the Devil's Beard,Tales of Magic,Supernatural Tasks,active,"""Der Teufel mit den drei goldenen Haaren"" / ""The Devil with the Three Golden Hairs"" (Grimm KHM 29); ""The King of the Golden Mountain"" variants",Claude (model knowledge),
462,The Outcast Queens and the Ogress Queen,Tales of Magic,Supernatural Tasks,active,—,Claude (model knowledge),Appears in 1001 Nights material.
463-464,,Tales of Magic,Supernatural Tasks,unassigned,,,Small gap.
465,The Man Persecuted Because of His Beautiful Wife,Tales of Magic,Supernatural Tasks,active,"""Go I Know Not Whither, Bring I Know Not What"" / ""Poydi tuda, ne znayu kuda"" (Afanasyev); ""Fedor Tugarin"" variants; Turkish variants",Claude (model knowledge),Classic 'impossible task' quest.
466-469,,Tales of Magic,Supernatural Tasks,unassigned,,,Gap before the 470 cluster.
470,Friends in Life and Death,Tales of Magic,Supernatural Tasks,active,"""The Three Aunts"" (Asbjørnsen & Moe); ""The Dead Friend"" / ""Don Juan"" legendary analogues; Estonian and Finnish variants",Claude (model knowledge),
471,The Bridge to the Other World,Tales of Magic,Supernatural Tasks,active,—,Claude (model knowledge),
472-474,,Tales of Magic,Supernatural Tasks,unassigned,,,
475,The Man as Heater of Hell's Kettle,Tales of Magic,Supernatural Tasks,active,"""The Devil's Sooty Brother"" / ""Des Teufels rußiger Bruder"" (Grimm KHM 100)",Claude (model knowledge),
476*,In the Witch's House,Tales of Magic,Supernatural Tasks,active,Russian Baba Yaga hospitality variants,Claude (model knowledge),
477-479,,Tales of Magic,Supernatural Tasks,unassigned,,,
480*,The Spinning-Women by the Spring,Tales of Magic,Supernatural Tasks,active,Related to Frau Holle,Claude (model knowledge),
480,The Kind and the Unkind Girls,Tales of Magic,Supernatural Tasks,active,"""Frau Holle"" / ""Mother Holle"" (Grimm KHM 24); ""Les Fées"" / ""Diamonds and Toads"" (Perrault, 1697); ""The Three Heads of the Well"" (English); ""The Enchanted Wreath"" (Scottish); ""Vasilisa the Beautiful"" (Afanasyev, partial overlap)",Claude (model knowledge),"Former AaTh 480A, 480B, 480C, 480D, etc. — Uther 2004 consolidated many sub-numbers into the main 480. Widespread worldwide: over 900 variants documented."
481-499,,Tales of Magic,Supernatural Tasks,unassigned,,,Gap at end of Supernatural Tasks subsection; catalogue continues at 500 Supernatural Helpers subsection.
500,The Name of the Supernatural Helper,Tales of Magic,Supernatural Helpers,active,"""Rumpelstilzchen"" / ""Rumpelstiltskin"" (Grimm KHM 55); ""Tom Tit Tot"" (English, Jacobs); ""Whuppity Stoorie"" (Scottish); ""Titteliture"" (Swedish); ""Gwarwyn-a-throt"" (Welsh); ""Kinkach Martinko"" (Slavic)",Claude (model knowledge),Guessing-the-helper's-name tale.
501,The Three Old Spinning Women,Tales of Magic,Supernatural Helpers,active,"""Die drei Spinnerinnen"" / ""The Three Spinners"" (Grimm KHM 14); ""Habetrot"" (Scottish); Italian ""Le tre vecchie"" variants",Claude (model knowledge),
502,The Wild Man,Tales of Magic,Supernatural Helpers,active,"""The Iron Man"" / ""Eisenhans"" variants (overlap with 314); Russian wild-man-helper tales",Claude (model knowledge),
503,The Gifts of the Little People,Tales of Magic,Supernatural Helpers,active,"""Die Geschenke des kleinen Volkes"" / ""The Gifts of the Little People"" (Grimm KHM 182); ""The Legend of Knockgrafton"" (Irish, Crofton Croker)",Claude (model knowledge),
504,The Changeling,Tales of Magic,Supernatural Helpers,active,"Changeling legends widespread across Celtic, Germanic, Scandinavian traditions; ""Die Wichtelmänner"" variants",Claude (model knowledge),Overlap with legend/belief tradition; Uther 2004 retained as folktale type.
505,The Grateful Dead,Tales of Magic,Supernatural Helpers,active,"""Jean de Calais"" (French); ""The Grateful Dead"" tales (widely distributed); ""The Traveling Companion"" / ""Reisekammeraten"" (Andersen, literary treatment); Icelandic saga variants",Claude (model knowledge),"Former AaTh 506, 506A, 506B, 507, 507A, 507B, 507C largely consolidated into ATU 505 in Uther 2004. Subject of a famous 1908 monograph by Gordon Hall Gerould."
506,The Rescued Princess,Tales of Magic,Supernatural Helpers,merged,—,Claude (model knowledge),Merged into ATU 505 in Uther 2004.
507,The Monster's Bride,Tales of Magic,Supernatural Helpers,merged,—,Claude (model knowledge),Merged into ATU 505 in Uther 2004.
508,The Bride Won in a Tournament,Tales of Magic,Supernatural Helpers,active,"Medieval romance analogues; ""Sir Launfal"" tradition (partial)",Claude (model knowledge),
509,,Tales of Magic,Supernatural Helpers,unassigned,,,No widely documented type at this number in open sources.
510,Cinderella and Cap o' Rushes (parent type),Tales of Magic,Supernatural Helpers,active,Parent type covering both Cinderella proper (510A) and the persecuted-heroine / unnatural-love cycle (510B),Claude (model knowledge),
511,"One-Eye, Two-Eyes, and Three-Eyes",Tales of Magic,Supernatural Helpers,active,"""Einäuglein, Zweiäuglein und Dreiäuglein"" / ""One-Eye, Two-Eyes, and Three-Eyes"" (Grimm KHM 130); ""Little Anklebone"" and related Indic variants",Claude (model knowledge),
512,,Tales of Magic,Supernatural Helpers,unassigned,,,No widely documented type at this number.
513,The Extraordinary Companions,Tales of Magic,Supernatural Helpers,active,Parent type covering 513A and 513B — companion-quest tales,Claude (model knowledge),
514,The Shift of Sex,Tales of Magic,Supernatural Helpers,active,"Albanian ""Tales of the Shift of Sex""; Balkan and Caucasian variants",Claude (model knowledge),
515,,Tales of Magic,Supernatural Helpers,unassigned,,,No widely documented type at this number.
516,Faithful John,Tales of Magic,Supernatural Helpers,active,"""Der treue Johannes"" / ""Faithful John"" (Grimm KHM 6); ""The Raven"" / ""Il Corvo"" (Basile, Pentamerone IV.9); ""The Faithful Servant"" (various)",Claude (model knowledge),
517,The Boy Who Understood the Language of Birds,Tales of Magic,Supernatural Helpers,active,"""Die drei Sprachen"" / ""The Three Languages"" (Grimm KHM 33)",Claude (model knowledge),
518,The Quarreling Magicians (Devils Cheat Each Other out of Magic Objects),Tales of Magic,Supernatural Helpers,active,"""The King of the Golden Mountain"" (Grimm KHM 92, partial); ""Schlauraffenland"" variants",Claude (model knowledge),
519,The Strong Woman as Bride (Brunhilde),Tales of Magic,Supernatural Helpers,active,"Brünhild cycle in the Nibelungenlied (medieval literary); ""The Song of Seyfrid""; related Norse Sigurd/Brynhildr material in the Völsunga saga",Claude (model knowledge),
520-529,,Tales of Magic,Supernatural Helpers,unassigned,,,Gap before the 530 horse-helper cluster.
530,The Princess on the Glass Mountain,Tales of Magic,Supernatural Helpers,active,"""Die Prinzessin auf dem Glasberg"" variants; ""The Princess on the Glass Hill"" (Asbjørnsen & Moe); ""Ferdinand the Faithful"" (Grimm KHM 126, related)",Claude (model knowledge),
531,Ferdinand the True and Ferdinand the False (The Clever Horse),Tales of Magic,Supernatural Helpers,active,"""Ferenand getrü und Ferenand ungetrü"" / ""Ferdinand the Faithful and Ferdinand the Unfaithful"" (Grimm KHM 126); ""The Little Humpbacked Horse"" / ""Konyok-Gorbunok"" (Yershov, 1834, Russian literary based on folktale); ""The Firebird"" variants",Claude (model knowledge),
532,The Helpful Horse (I Don't Know),Tales of Magic,Supernatural Helpers,active,"""Der Eisenhans"" overlap (314); Hungarian ""Tátos"" horse tales; Russian ""Sivko-Burko"" (Afanasyev)",Claude (model knowledge),Former AaTh 532 retained in Uther 2004.
533,The Speaking Horsehead,Tales of Magic,Supernatural Helpers,active,"""Die Gänsemagd"" / ""The Goose Girl"" (Grimm KHM 89); ""The Goose Girl at the Spring"" variants",Claude (model knowledge),
534-544,,Tales of Magic,Supernatural Helpers,unassigned,,,Small gap before the 545 cat-helper cluster.
545,The Cat as Helper,Tales of Magic,Supernatural Helpers,active,Parent type covering 545A and 545B,Claude (model knowledge),
546,The Clever Parrot,Tales of Magic,Supernatural Helpers,uncertain,—,Claude (model knowledge),Title and scope not confidently verified. Flag for verification.
547-549,,Tales of Magic,Supernatural Helpers,unassigned,,,
550,"The Bird, The Horse, and The Princess (The Golden Bird)",Tales of Magic,Supernatural Helpers,active,"""Der goldene Vogel"" / ""The Golden Bird"" (Grimm KHM 57); ""The Firebird"" / ""Ivan Tsarevich, the Firebird and the Gray Wolf"" (Russian, Afanasyev); ""The Greek Princess and the Young Gardener"" (Irish, Jacobs)",Claude (model knowledge),
551,The Water of Life,Tales of Magic,Supernatural Helpers,active,"""Das Wasser des Lebens"" / ""The Water of Life"" (Grimm KHM 97); ""The Golden Bird"" often overlaps; ""The Story of the King who would be Stronger than Fate"" (1001 Nights analogues)",Claude (model knowledge),
552,The Girls Who Married Animals,Tales of Magic,Supernatural Helpers,active,"""The Three Sisters and Their Animal Husbands"" (widespread); ""Die Raben"" / ""The Raven"" variants",Claude (model knowledge),
553,The Raven Helper,Tales of Magic,Supernatural Helpers,active,—,Claude (model knowledge),
554,The Grateful Animals,Tales of Magic,Supernatural Helpers,active,"""The White Snake"" / ""Die weiße Schlange"" (Grimm KHM 17); ""The Queen Bee"" / ""Die Bienenkönigin"" (Grimm KHM 62); ""The Golden Mermaid""",Claude (model knowledge),
555,The Fisherman and His Wife,Tales of Magic,Supernatural Helpers,active,"""Von dem Fischer un syner Fru"" / ""The Fisherman and His Wife"" (Grimm KHM 19); ""The Tale of the Fisherman and the Fish"" / ""Skazka o rybake i rybke"" (Pushkin, 1833, literary retelling of Russian folktale); Russian folk variants",Claude (model knowledge),
556-558,,Tales of Magic,Supernatural Helpers,unassigned,,,Small gap before 559.
559,The Dungbeetle,Tales of Magic,Supernatural Helpers,uncertain,—,Claude (model knowledge),Type number likely exists; exact title wording in Uther 2004 not fully verified. Flag for verification.
560,The Magic Ring,Tales of Magic,Magic Objects,active,"""Der Kristallkugel"" / ""The Crystal Ball"" (Grimm KHM 197, related); 1001 Nights tales; European wishing-ring variants",Claude (model knowledge),Grateful animals help hero recover a magic ring.
561,Aladdin,Tales of Magic,Magic Objects,active,"""Aladdin and the Wonderful Lamp"" (1001 Nights, Galland 1710s); widely distributed Middle Eastern variants",Claude (model knowledge),
562,The Spirit in the Blue Light,Tales of Magic,Magic Objects,active,"""Das blaue Licht"" / ""The Blue Light"" (Grimm KHM 116); ""The Tinderbox"" / ""Fyrtøjet"" (Andersen, 1835, literary adaptation)",Claude (model knowledge),
563,"The Table, the Donkey and the Stick",Tales of Magic,Magic Objects,active,"""Tischchen deck dich, Goldesel und Knüppel aus dem Sack"" / ""The Wishing-Table, the Gold-Ass, and the Cudgel in the Sack"" (Grimm KHM 36); Italian and French variants",Claude (model knowledge),
